PC1,PC2,PC3,PC4,PC1_vis,PC2_vis,Extraversion,Agreeableness,Conscientiousness,Neuroticism,Openness,OCB,CWB
-0.9011714809356486,0.7956431713108805,2.562878671529878,0.7292658373464486,-0.9011714809356486,0.7956431713108805,2.4166666666666665,4.25,3.0833333333333335,4.5,4.75,3.2,1.7
2.4704375582200493,-0.5711060730141273,-0.8251715525671994,-0.400484430454128,2.4704375582200493,-0.5711060730141273,4.583333333333333,4.25,4.25,1.5833333333333333,3.8333333333333335,2.7,1.1
-0.4807549618339747,2.1011890159568596,0.4259602936433396,0.3898831362006193,-0.4807549618339747,2.1011890159568596,3.9166666666666665,3.9166666666666665,2.5,3.5,4.083333333333333,3.6,2.1
0.9184714170183527,0.2225644445229929,-0.8560788500150907,0.6411403387978009,0.9184714170183527,0.2225644445229929,4.666666666666667,4.5,3.0833333333333335,2.5833333333333335,3.25,2.8,1.5
-0.7434719534304709,-0.1688385183359742,-0.6439255233394328,-0.16814750042085916,-0.7434719534304709,-0.1688385183359742,2.9166666666666665,3.25,3.5833333333333335,2.9166666666666665,3.4166666666666665,2.8,1.5
0.2784714645525539,-0.17177841568431426,-0.10350906436674065,-1.3471761624557959,0.2784714645525539,-0.17177841568431426,3.5833333333333335,3.25,3.9166666666666665,2.6666666666666665,4.166666666666667,2.4,1.4
0.69160218699642,0.34885974802185066,0.894560748266315,1.0579798944864813,0.69160218699642,0.34885974802185066,3.0833333333333335,4.166666666666667,3.9166666666666665,3.4166666666666665,4.0,3.9,1.2
-0.2492656788367589,0.7430584762344243,0.2263077834526157,0.8520555624463535,-0.2492656788367589,0.7430584762344243,3.0833333333333335,3.9166666666666665,3.1666666666666665,3.1666666666666665,3.75,3.6,1.6
-0.9410960410626769,1.8130460600960276,1.04940413221952,1.4539827578035145,-0.9410960410626769,1.8130460600960276,2.25,4.416666666666667,3.4166666666666665,3.75,4.166666666666667,3.3,2.8
-2.7366345710266193,-0.9038810241835237,1.1873855216637832,-2.684514904545915,-2.7366345710266193,-0.9038810241835237,2.4166666666666665,2.25,3.0833333333333335,4.25,4.5,1.2,1.3
0.9887492114613976,0.4696051332210641,-0.5168327629596758,-0.08671837722852052,0.9887492114613976,0.4696051332210641,4.25,4.083333333333333,3.75,2.5833333333333335,3.75,2.8,1.7
1.5355208341800355,-0.9873168724353191,-0.8680740962535249,-0.17778294457122493,1.5355208341800355,-0.9873168724353191,4.333333333333333,4.416666666666667,3.5,1.6666666666666667,3.5833333333333335,2.1,1.2
-0.08812572282208987,1.2026412410775378,-0.4424563963371644,-0.840640382595836,-0.08812572282208987,1.2026412410775378,3.5,3.1666666666666665,3.6666666666666665,2.6666666666666665,4.083333333333333,3.1,2.0
-0.7228715898742716,-0.8906097132095442,-0.5483049690819363,-1.5081360265433614,-0.7228715898742716,-0.8906097132095442,2.1666666666666665,2.75,3.75,1.8333333333333333,4.083333333333333,2.1,1.5
0.7039435915479733,2.281931401688487,-1.4538781089062836,-1.0261179885327092,0.7039435915479733,2.281931401688487,3.8333333333333335,2.6666666666666665,4.25,2.0,4.0,4.1,2.2
-0.22868882058387288,2.437064536703588,0.7922442239514338,-0.8010532095886921,-0.22868882058387288,2.437064536703588,3.4166666666666665,3.1666666666666665,3.75,3.5833333333333335,4.75,3.7,2.3
2.215119342355961,0.6952542130999095,-0.4788071250859603,0.21688260898480027,2.215119342355961,0.6952542130999095,4.0,4.0,4.083333333333333,1.6666666666666667,4.083333333333333,4.0,1.3
-0.3080135911277366,0.3689848747982483,-0.39047578658233256,0.789565159956175,-0.3080135911277366,0.3689848747982483,2.8333333333333335,4.083333333333333,3.25,2.5,3.5833333333333335,2.9,2.0
0.4971256539174266,-0.894281525335386,1.8677312463199904,0.9330782980179373,0.4971256539174266,-0.894281525335386,2.3333333333333335,4.75,3.1666666666666665,2.75,4.583333333333333,2.8,1.1
-1.058679137842666,0.2994312354645455,-0.9475075182452737,0.45457261967147283,-1.058679137842666,0.2994312354645455,3.0,3.1666666666666665,3.9166666666666665,3.6666666666666665,2.9166666666666665,3.3,1.6
2.1563648292882687,-0.1147598360986685,0.9592368985164993,-0.40511999145041094,2.1563648292882687,-0.1147598360986685,3.8333333333333335,4.25,4.666666666666667,2.6666666666666665,4.666666666666667,3.0,1.2
-1.835303018291855,-1.4126182925118667,1.401897416453325,-0.09012451649871205,-1.835303018291855,-1.4126182925118667,2.0,3.6666666666666665,3.3333333333333335,4.25,3.9166666666666665,1.8,1.2
0.037199020596224285,1.0448352447322993,0.8745458352524574,0.12811069700421285,0.037199020596224285,1.0448352447322993,3.5833333333333335,4.083333333333333,3.0833333333333335,3.3333333333333335,4.333333333333333,3.1,1.8
-1.4537318700407194,0.14071684287377945,1.5712329784441759,0.24414268088814214,-1.4537318700407194,0.14071684287377945,2.8333333333333335,4.083333333333333,2.3333333333333335,4.0,4.25,2.4,1.6
1.0524665220408003,1.053620948411406,0.8936340289685878,-0.17714419403485182,1.0524665220408003,1.053620948411406,3.5,3.6666666666666665,4.5,3.4166666666666665,4.5,3.8,1.5
-0.5748117873577402,-0.08352166008498954,-0.7282532670839402,0.8961774568679651,-0.5748117873577402,-0.08352166008498954,3.25,3.6666666666666665,3.0833333333333335,3.0833333333333335,3.0,3.4,1.2
-0.5381268682068235,-1.073154893358195,-0.3361104610739808,-0.6934871820231007,-0.5381268682068235,-1.073154893358195,3.4166666666666665,3.5,3.9166666666666665,3.4166666666666665,3.4166666666666665,1.8,1.3
1.3051739019639048,0.5742453041869192,-1.510188580784475,0.9750979658052829,1.3051739019639048,0.5742453041869192,3.9166666666666665,4.166666666666667,3.8333333333333335,1.8333333333333333,3.1666666666666665,3.6,1.7
0.06489901715102112,-0.15128805940639564,-0.2424570113717432,-0.14209206425864546,0.06489901715102112,-0.15128805940639564,3.3333333333333335,3.6666666666666665,3.9166666666666665,3.0,3.6666666666666665,2.7,1.5
-0.9186822581816921,1.206540182631631,0.3400191138523801,-0.5048247079161594,-0.9186822581816921,1.206540182631631,3.5,3.5,3.1666666666666665,3.6666666666666665,4.083333333333333,2.7,2.1
